State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
NB,Employment,"Less than $25,000",20,20000
NB,Employment,"Between $25,000 and $49,999",120,37000
NB,Employment,"Between $25,000 and $49,999",30,37000
NB,Employment,"Between $50,000 and $99,999",120,75000
NB,Employment,"Between $50,000 and $99,999",20,75000
NB,Employment,"$100,000 and Above",10,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Pension,"Less than $25,000",50,20000
NB,Pension,"Less than $25,000",10,20000
NB,Pension,"Between $25,000 and $49,999",20,37000
NB,Pension,"Between $25,000 and $49,999",0,37000
NB,Pension,"Between $50,000 and $99,999",0,75000
NB,Pension,"Between $50,000 and $99,999",0,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Self-employment,"Less than $25,000",0,20000
NB,No income,"Less than $25,000",20,20000
NB,Other sources of income,"Less than $25,000",80,20000
NB,Other sources of income,"Less than $25,000",10,20000
NB,Other sources of income,"Between $25,000 and $49,999",0,37000
NB,Other sources of income,"Between $25,000 and $49,999",0,37000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Employment,"Less than $25,000",1720,20000
NB,Employment,"Less than $25,000",230,20000
NB,Employment,"Between $25,000 and $49,999",1930,37000
NB,Employment,"Between $25,000 and $49,999",480,37000
NB,Employment,"Between $50,000 and $99,999",1450,75000
NB,Employment,"Between $50,000 and $99,999",490,75000
NB,Employment,"$100,000 and Above",360,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",20,20000
NB,Investment,"Less than $25,000",30,20000
NB,Investment,"Between $25,000 and $49,999",40,37000
NB,Investment,"Between $50,000 and $99,999",70,75000
NB,Investment,"$100,000 and Above",80,130000
NB,Pension,"Less than $25,000",1480,20000
NB,Pension,"Less than $25,000",440,20000
NB,Pension,"Between $25,000 and $49,999",950,37000
NB,Pension,"Between $25,000 and $49,999",460,37000
NB,Pension,"Between $50,000 and $99,999",270,75000
NB,Pension,"Between $50,000 and $99,999",260,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Pension,"$100,000 and Above",20,130000
NB,Self-employment,"Less than $25,000",0,20000
NB,Self-employment,"Less than $25,000",240,20000
NB,Self-employment,"Between $25,000 and $49,999",80,37000
NB,Self-employment,"Between $50,000 and $99,999",50,75000
NB,Self-employment,"$100,000 and Above",20,130000
NB,Multiple sources of income,"Less than $25,000",0,20000
NB,No income,"Less than $25,000",260,20000
NB,No income,"Less than $25,000",10,20000
NB,Other sources of income,"Less than $25,000",860,20000
NB,Other sources of income,"Less than $25,000",100,20000
NB,Other sources of income,"Between $25,000 and $49,999",230,37000
NB,Other sources of income,"Between $25,000 and $49,999",90,37000
NB,Other sources of income,"Between $50,000 and $99,999",40,75000
NB,Other sources of income,"Between $50,000 and $99,999",20,75000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Other sources of income,"$100,000 and Above",10,130000
NB,Employment,"Less than $25,000",290,20000
NB,Employment,"Less than $25,000",50,20000
NB,Employment,"Between $25,000 and $49,999",280,37000
NB,Employment,"Between $25,000 and $49,999",60,37000
NB,Employment,"Between $50,000 and $99,999",150,75000
NB,Employment,"Between $50,000 and $99,999",40,75000
NB,Employment,"$100,000 and Above",20,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",20,20000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $50,000 and $99,999",0,75000
NB,Investment,"$100,000 and Above",0,130000
NB,Pension,"Less than $25,000",760,20000
NB,Pension,"Less than $25,000",120,20000
NB,Pension,"Between $25,000 and $49,999",240,37000
NB,Pension,"Between $25,000 and $49,999",60,37000
NB,Pension,"Between $50,000 and $99,999",40,75000
NB,Pension,"Between $50,000 and $99,999",20,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Pension,"$100,000 and Above",0,130000
NB,Self-employment,"Less than $25,000",20,20000
NB,Self-employment,"Between $25,000 and $49,999",0,37000
NB,Self-employment,"Between $50,000 and $99,999",0,75000
NB,Self-employment,"$100,000 and Above",0,130000
NB,Multiple sources of income,"Less than $25,000",0,20000
NB,No income,"Less than $25,000",500,20000
NB,No income,"Less than $25,000",40,20000
NB,Other sources of income,"Less than $25,000",790,20000
NB,Other sources of income,"Less than $25,000",90,20000
NB,Other sources of income,"Between $25,000 and $49,999",40,37000
NB,Other sources of income,"Between $25,000 and $49,999",0,37000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Employment,"Less than $25,000",430,20000
NB,Employment,"Less than $25,000",30,20000
NB,Employment,"Between $25,000 and $49,999",670,37000
NB,Employment,"Between $25,000 and $49,999",100,37000
NB,Employment,"Between $50,000 and $99,999",370,75000
NB,Employment,"Between $50,000 and $99,999",70,75000
NB,Employment,"$100,000 and Above",30,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Pension,"Less than $25,000",470,20000
NB,Pension,"Less than $25,000",70,20000
NB,Pension,"Between $25,000 and $49,999",190,37000
NB,Pension,"Between $25,000 and $49,999",50,37000
NB,Pension,"Between $50,000 and $99,999",40,75000
NB,Pension,"Between $50,000 and $99,999",20,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Self-employment,"Less than $25,000",20,20000
NB,Self-employment,"Between $25,000 and $49,999",0,37000
NB,Self-employment,"Between $50,000 and $99,999",0,75000
NB,No income,"Less than $25,000",160,20000
NB,No income,"Less than $25,000",20,20000
NB,Other sources of income,"Less than $25,000",370,20000
NB,Other sources of income,"Less than $25,000",50,20000
NB,Other sources of income,"Between $25,000 and $49,999",90,37000
NB,Other sources of income,"Between $25,000 and $49,999",20,37000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Employment,"Less than $25,000",1010,20000
NB,Employment,"Less than $25,000",100,20000
NB,Employment,"Between $25,000 and $49,999",1120,37000
NB,Employment,"Between $25,000 and $49,999",300,37000
NB,Employment,"Between $50,000 and $99,999",670,75000
NB,Employment,"Between $50,000 and $99,999",220,75000
NB,Employment,"$100,000 and Above",110,130000
NB,Employment,"$100,000 and Above",90,130000
NB,Investment,"Less than $25,000",10,20000
NB,Investment,"Less than $25,000",20,20000
NB,Investment,"Between $25,000 and $49,999",40,37000
NB,Investment,"Between $50,000 and $99,999",60,75000
NB,Investment,"$100,000 and Above",40,130000
NB,Pension,"Less than $25,000",740,20000
NB,Pension,"Less than $25,000",220,20000
NB,Pension,"Between $25,000 and $49,999",450,37000
NB,Pension,"Between $25,000 and $49,999",160,37000
NB,Pension,"Between $50,000 and $99,999",110,75000
NB,Pension,"Between $50,000 and $99,999",80,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Pension,"$100,000 and Above",0,130000
NB,Self-employment,"Less than $25,000",0,20000
NB,Self-employment,"Less than $25,000",150,20000
NB,Self-employment,"Between $25,000 and $49,999",40,37000
NB,Self-employment,"Between $50,000 and $99,999",20,75000
NB,Self-employment,"$100,000 and Above",10,130000
NB,No income,"Less than $25,000",140,20000
NB,No income,"Less than $25,000",10,20000
NB,Other sources of income,"Less than $25,000",620,20000
NB,Other sources of income,"Less than $25,000",80,20000
NB,Other sources of income,"Between $25,000 and $49,999",160,37000
NB,Other sources of income,"Between $25,000 and $49,999",40,37000
NB,Other sources of income,"Between $50,000 and $99,999",20,75000
NB,Other sources of income,"Between $50,000 and $99,999",10,75000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Employment,"Less than $25,000",470,20000
NB,Employment,"Less than $25,000",90,20000
NB,Employment,"Between $25,000 and $49,999",690,37000
NB,Employment,"Between $25,000 and $49,999",140,37000
NB,Employment,"Between $50,000 and $99,999",370,75000
NB,Employment,"Between $50,000 and $99,999",70,75000
NB,Employment,"$100,000 and Above",50,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $50,000 and $99,999",0,75000
NB,Investment,"Between $50,000 and $99,999",0,75000
NB,Investment,"$100,000 and Above",0,130000
NB,Pension,"Less than $25,000",1080,20000
NB,Pension,"Less than $25,000",220,20000
NB,Pension,"Between $25,000 and $49,999",430,37000
NB,Pension,"Between $25,000 and $49,999",100,37000
NB,Pension,"Between $50,000 and $99,999",100,75000
NB,Pension,"Between $50,000 and $99,999",40,75000
NB,Self-employment,"Less than $25,000",50,20000
NB,Self-employment,"Between $25,000 and $49,999",10,37000
NB,Self-employment,"Between $50,000 and $99,999",20,75000
NB,Self-employment,"$100,000 and Above",0,130000
NB,Multiple sources of income,"Less than $25,000",0,20000
NB,No income,"Less than $25,000",100,20000
NB,No income,"Less than $25,000",10,20000
NB,Other sources of income,"Less than $25,000",590,20000
NB,Other sources of income,"Less than $25,000",90,20000
NB,Other sources of income,"Between $25,000 and $49,999",60,37000
NB,Other sources of income,"Between $25,000 and $49,999",20,37000
NB,Other sources of income,"Between $50,000 and $99,999",10,75000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"$100,000 and Above",10,130000
NB,Employment,"Less than $25,000",480,20000
NB,Employment,"Less than $25,000",40,20000
NB,Employment,"Between $25,000 and $49,999",750,37000
NB,Employment,"Between $25,000 and $49,999",110,37000
NB,Employment,"Between $50,000 and $99,999",540,75000
NB,Employment,"Between $50,000 and $99,999",120,75000
NB,Employment,"$100,000 and Above",70,130000
NB,Employment,"$100,000 and Above",0,130000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Less than $25,000",0,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $50,000 and $99,999",0,75000
NB,Investment,"$100,000 and Above",0,130000
NB,Pension,"Less than $25,000",440,20000
NB,Pension,"Less than $25,000",80,20000
NB,Pension,"Between $25,000 and $49,999",240,37000
NB,Pension,"Between $25,000 and $49,999",50,37000
NB,Pension,"Between $50,000 and $99,999",70,75000
NB,Pension,"Between $50,000 and $99,999",20,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Pension,"$100,000 and Above",0,130000
NB,Self-employment,"Less than $25,000",30,20000
NB,Self-employment,"Between $25,000 and $49,999",10,37000
NB,Self-employment,"Between $50,000 and $99,999",0,75000
NB,Self-employment,"$100,000 and Above",0,130000
NB,No income,"Less than $25,000",50,20000
NB,No income,"Less than $25,000",10,20000
NB,Other sources of income,"Less than $25,000",260,20000
NB,Other sources of income,"Less than $25,000",30,20000
NB,Other sources of income,"Between $25,000 and $49,999",40,37000
NB,Other sources of income,"Between $25,000 and $49,999",0,37000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"Between $50,000 and $99,999",0,75000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Other sources of income,"$100,000 and Above",0,130000
NB,Employment,"Less than $25,000",1400,20000
NB,Employment,"Less than $25,000",220,20000
NB,Employment,"Between $25,000 and $49,999",1810,37000
NB,Employment,"Between $25,000 and $49,999",520,37000
NB,Employment,"Between $50,000 and $99,999",1100,75000
NB,Employment,"Between $50,000 and $99,999",370,75000
NB,Employment,"$100,000 and Above",170,130000
NB,Employment,"$100,000 and Above",130,130000
NB,Investment,"Less than $25,000",20,20000
NB,Investment,"Less than $25,000",30,20000
NB,Investment,"Between $25,000 and $49,999",0,37000
NB,Investment,"Between $25,000 and $49,999",60,37000
NB,Investment,"Between $50,000 and $99,999",60,75000
NB,Investment,"$100,000 and Above",60,130000
NB,Pension,"Less than $25,000",1350,20000
NB,Pension,"Less than $25,000",310,20000
NB,Pension,"Between $25,000 and $49,999",660,37000
NB,Pension,"Between $25,000 and $49,999",250,37000
NB,Pension,"Between $50,000 and $99,999",180,75000
NB,Pension,"Between $50,000 and $99,999",110,75000
NB,Pension,"$100,000 and Above",0,130000
NB,Pension,"$100,000 and Above",10,130000
NB,Self-employment,"Less than $25,000",190,20000
NB,Self-employment,"Between $25,000 and $49,999",80,37000
NB,Self-employment,"Between $50,000 and $99,999",60,75000
NB,Self-employment,"$100,000 and Above",30,130000
NB,No income,"Less than $25,000",170,20000
NB,No income,"Less than $25,000",10,20000
NB,Other sources of income,"Less than $25,000",680,20000
NB,Other sources of income,"Less than $25,000",120,20000
NB,Other sources of income,"Between $25,000 and $49,999",140,37000
NB,Other sources of income,"Between $25,000 and $49,999",50,37000
NB,Other sources of income,"Between $50,000 and $99,999",30,75000
NB,Other sources of income,"Between $50,000 and $99,999",10,75000
NB,Other sources of income,"$100,000 and Above",10,130000
NB,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",230,20000
QC,Employment,"Less than $25,000",70,20000
QC,Employment,"Between $25,000 and $49,999",310,37000
QC,Employment,"Between $25,000 and $49,999",80,37000
QC,Employment,"Between $50,000 and $99,999",150,75000
QC,Employment,"Between $50,000 and $99,999",50,75000
QC,Employment,"$100,000 and Above",10,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",0,20000
QC,Investment,"Less than $25,000",0,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"$100,000 and Above",0,130000
QC,Pension,"Less than $25,000",580,20000
QC,Pension,"Less than $25,000",150,20000
QC,Pension,"Between $25,000 and $49,999",160,37000
QC,Pension,"Between $25,000 and $49,999",60,37000
QC,Pension,"Between $50,000 and $99,999",30,75000
QC,Pension,"Between $50,000 and $99,999",20,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",0,130000
QC,Self-employment,"Less than $25,000",10,20000
QC,Self-employment,"Between $25,000 and $49,999",10,37000
QC,Self-employment,"$100,000 and Above",0,130000
QC,Multiple sources of income,"Less than $25,000",0,20000
QC,No income,"Less than $25,000",50,20000
QC,No income,"Less than $25,000",0,20000
QC,Other sources of income,"Less than $25,000",410,20000
QC,Other sources of income,"Less than $25,000",90,20000
QC,Other sources of income,"Between $25,000 and $49,999",30,37000
QC,Other sources of income,"Between $25,000 and $49,999",0,37000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Employment,"Less than $25,000",310,20000
QC,Employment,"Less than $25,000",40,20000
QC,Employment,"Between $25,000 and $49,999",450,37000
QC,Employment,"Between $25,000 and $49,999",100,37000
QC,Employment,"Between $50,000 and $99,999",330,75000
QC,Employment,"Between $50,000 and $99,999",80,75000
QC,Employment,"$100,000 and Above",30,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",0,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"$100,000 and Above",0,130000
QC,Pension,"Less than $25,000",270,20000
QC,Pension,"Less than $25,000",70,20000
QC,Pension,"Between $25,000 and $49,999",140,37000
QC,Pension,"Between $25,000 and $49,999",40,37000
QC,Pension,"Between $50,000 and $99,999",40,75000
QC,Pension,"Between $50,000 and $99,999",20,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Self-employment,"Less than $25,000",10,20000
QC,Self-employment,"Between $25,000 and $49,999",0,37000
QC,Self-employment,"Between $50,000 and $99,999",0,75000
QC,Self-employment,"$100,000 and Above",0,130000
QC,No income,"Less than $25,000",20,20000
QC,No income,"Less than $25,000",0,20000
QC,Other sources of income,"Less than $25,000",130,20000
QC,Other sources of income,"Less than $25,000",40,20000
QC,Other sources of income,"Between $25,000 and $49,999",20,37000
QC,Other sources of income,"Between $25,000 and $49,999",10,37000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",1170,20000
QC,Employment,"Less than $25,000",180,20000
QC,Employment,"Between $25,000 and $49,999",1680,37000
QC,Employment,"Between $25,000 and $49,999",500,37000
QC,Employment,"Between $50,000 and $99,999",1050,75000
QC,Employment,"Between $50,000 and $99,999",420,75000
QC,Employment,"$100,000 and Above",130,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",20,20000
QC,Investment,"Less than $25,000",40,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",50,37000
QC,Investment,"Between $50,000 and $99,999",70,75000
QC,Investment,"$100,000 and Above",50,130000
QC,Pension,"Less than $25,000",1440,20000
QC,Pension,"Less than $25,000",420,20000
QC,Pension,"Between $25,000 and $49,999",580,37000
QC,Pension,"Between $25,000 and $49,999",300,37000
QC,Pension,"Between $50,000 and $99,999",150,75000
QC,Pension,"Between $50,000 and $99,999",150,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",10,130000
QC,Self-employment,"Less than $25,000",0,20000
QC,Self-employment,"Less than $25,000",160,20000
QC,Self-employment,"Between $25,000 and $49,999",90,37000
QC,Self-employment,"Between $50,000 and $99,999",30,75000
QC,Self-employment,"$100,000 and Above",20,130000
QC,No income,"Less than $25,000",140,20000
QC,No income,"Less than $25,000",10,20000
QC,Other sources of income,"Less than $25,000",780,20000
QC,Other sources of income,"Less than $25,000",180,20000
QC,Other sources of income,"Between $25,000 and $49,999",180,37000
QC,Other sources of income,"Between $25,000 and $49,999",70,37000
QC,Other sources of income,"Between $50,000 and $99,999",30,75000
QC,Other sources of income,"Between $50,000 and $99,999",20,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",1000,20000
QC,Employment,"Less than $25,000",150,20000
QC,Employment,"Between $25,000 and $49,999",1150,37000
QC,Employment,"Between $25,000 and $49,999",300,37000
QC,Employment,"Between $50,000 and $99,999",650,75000
QC,Employment,"Between $50,000 and $99,999",240,75000
QC,Employment,"$100,000 and Above",70,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",30,20000
QC,Investment,"Less than $25,000",30,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",10,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"Between $50,000 and $99,999",20,75000
QC,Investment,"$100,000 and Above",20,130000
QC,Pension,"Less than $25,000",1320,20000
QC,Pension,"Less than $25,000",320,20000
QC,Pension,"Between $25,000 and $49,999",820,37000
QC,Pension,"Between $25,000 and $49,999",260,37000
QC,Pension,"Between $50,000 and $99,999",230,75000
QC,Pension,"Between $50,000 and $99,999",140,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",0,130000
QC,Self-employment,"Less than $25,000",0,20000
QC,Self-employment,"Less than $25,000",90,20000
QC,Self-employment,"Between $25,000 and $49,999",40,37000
QC,Self-employment,"Between $50,000 and $99,999",10,75000
QC,Self-employment,"$100,000 and Above",10,130000
QC,No income,"Less than $25,000",170,20000
QC,No income,"Less than $25,000",10,20000
QC,Other sources of income,"Less than $25,000",830,20000
QC,Other sources of income,"Less than $25,000",170,20000
QC,Other sources of income,"Between $25,000 and $49,999",60,37000
QC,Other sources of income,"Between $25,000 and $49,999",20,37000
QC,Other sources of income,"Between $50,000 and $99,999",10,75000
QC,Other sources of income,"Between $50,000 and $99,999",10,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",1350,20000
QC,Employment,"Less than $25,000",150,20000
QC,Employment,"Between $25,000 and $49,999",1810,37000
QC,Employment,"Between $25,000 and $49,999",430,37000
QC,Employment,"Between $50,000 and $99,999",1590,75000
QC,Employment,"Between $50,000 and $99,999",660,75000
QC,Employment,"$100,000 and Above",0,130000
QC,Employment,"$100,000 and Above",180,130000
QC,Investment,"Less than $25,000",20,20000
QC,Investment,"Less than $25,000",20,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",10,37000
QC,Investment,"Between $50,000 and $99,999",20,75000
QC,Investment,"$100,000 and Above",20,130000
QC,Pension,"Less than $25,000",810,20000
QC,Pension,"Less than $25,000",220,20000
QC,Pension,"Between $25,000 and $49,999",800,37000
QC,Pension,"Between $25,000 and $49,999",280,37000
QC,Pension,"Between $50,000 and $99,999",340,75000
QC,Pension,"Between $50,000 and $99,999",250,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",20,130000
QC,Self-employment,"Less than $25,000",90,20000
QC,Self-employment,"Between $25,000 and $49,999",40,37000
QC,Self-employment,"Between $50,000 and $99,999",20,75000
QC,Self-employment,"$100,000 and Above",10,130000
QC,No income,"Less than $25,000",130,20000
QC,No income,"Less than $25,000",10,20000
QC,Other sources of income,"Less than $25,000",460,20000
QC,Other sources of income,"Less than $25,000",90,20000
QC,Other sources of income,"Between $25,000 and $49,999",90,37000
QC,Other sources of income,"Between $25,000 and $49,999",30,37000
QC,Other sources of income,"Between $50,000 and $99,999",20,75000
QC,Other sources of income,"Between $50,000 and $99,999",10,75000
QC,Other sources of income,"$100,000 and Above",10,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",2880,20000
QC,Employment,"Less than $25,000",460,20000
QC,Employment,"Between $25,000 and $49,999",3760,37000
QC,Employment,"Between $25,000 and $49,999",1240,37000
QC,Employment,"Between $50,000 and $99,999",2640,75000
QC,Employment,"Between $50,000 and $99,999",1450,75000
QC,Employment,"$100,000 and Above",330,130000
QC,Employment,"$100,000 and Above",390,130000
QC,Investment,"Less than $25,000",30,20000
QC,Investment,"Less than $25,000",100,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",160,37000
QC,Investment,"Between $50,000 and $99,999",180,75000
QC,Investment,"$100,000 and Above",270,130000
QC,Pension,"Less than $25,000",2510,20000
QC,Pension,"Less than $25,000",810,20000
QC,Pension,"Between $25,000 and $49,999",1660,37000
QC,Pension,"Between $25,000 and $49,999",800,37000
QC,Pension,"Between $50,000 and $99,999",500,75000
QC,Pension,"Between $50,000 and $99,999",460,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",50,130000
QC,Self-employment,"Less than $25,000",460,20000
QC,Self-employment,"Between $25,000 and $49,999",260,37000
QC,Self-employment,"Between $50,000 and $99,999",100,75000
QC,Self-employment,"$100,000 and Above",110,130000
QC,No income,"Less than $25,000",290,20000
QC,No income,"Less than $25,000",40,20000
QC,Other sources of income,"Less than $25,000",1440,20000
QC,Other sources of income,"Less than $25,000",340,20000
QC,Other sources of income,"Between $25,000 and $49,999",280,37000
QC,Other sources of income,"Between $25,000 and $49,999",120,37000
QC,Other sources of income,"Between $50,000 and $99,999",60,75000
QC,Other sources of income,"Between $50,000 and $99,999",40,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",30,130000
QC,Employment,"Less than $25,000",700,20000
QC,Employment,"Less than $25,000",120,20000
QC,Employment,"Between $25,000 and $49,999",960,37000
QC,Employment,"Between $25,000 and $49,999",280,37000
QC,Employment,"Between $50,000 and $99,999",480,75000
QC,Employment,"Between $50,000 and $99,999",200,75000
QC,Employment,"$100,000 and Above",0,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",10,20000
QC,Investment,"Less than $25,000",20,20000
QC,Investment,"Between $25,000 and $49,999",20,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"Between $50,000 and $99,999",10,75000
QC,Investment,"$100,000 and Above",0,130000
QC,Pension,"Less than $25,000",910,20000
QC,Pension,"Less than $25,000",290,20000
QC,Pension,"Between $25,000 and $49,999",510,37000
QC,Pension,"Between $25,000 and $49,999",190,37000
QC,Pension,"Between $50,000 and $99,999",130,75000
QC,Pension,"Between $50,000 and $99,999",80,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Pension,"$100,000 and Above",0,130000
QC,Self-employment,"Less than $25,000",0,20000
QC,Self-employment,"Less than $25,000",70,20000
QC,Self-employment,"Between $25,000 and $49,999",20,37000
QC,Self-employment,"Between $50,000 and $99,999",10,75000
QC,Self-employment,"$100,000 and Above",0,130000
QC,Multiple sources of income,"Less than $25,000",0,20000
QC,No income,"Less than $25,000",70,20000
QC,No income,"Less than $25,000",0,20000
QC,Other sources of income,"Less than $25,000",470,20000
QC,Other sources of income,"Less than $25,000",110,20000
QC,Other sources of income,"Between $25,000 and $49,999",50,37000
QC,Other sources of income,"Between $25,000 and $49,999",20,37000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",720,20000
QC,Employment,"Less than $25,000",110,20000
QC,Employment,"Between $25,000 and $49,999",1190,37000
QC,Employment,"Between $25,000 and $49,999",300,37000
QC,Employment,"Between $50,000 and $99,999",710,75000
QC,Employment,"Between $50,000 and $99,999",230,75000
QC,Employment,"$100,000 and Above",0,130000
QC,Employment,"$100,000 and Above",0,130000
QC,Investment,"Less than $25,000",0,20000
QC,Investment,"Less than $25,000",10,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
QC,Investment,"Between $50,000 and $99,999",10,75000
QC,Investment,"$100,000 and Above",0,130000
QC,Pension,"Less than $25,000",500,20000
QC,Pension,"Less than $25,000",130,20000
QC,Pension,"Between $25,000 and $49,999",360,37000
QC,Pension,"Between $25,000 and $49,999",130,37000
QC,Pension,"Between $50,000 and $99,999",110,75000
QC,Pension,"Between $50,000 and $99,999",100,75000
QC,Pension,"$100,000 and Above",0,130000
QC,Self-employment,"Less than $25,000",70,20000
QC,Self-employment,"Between $25,000 and $49,999",30,37000
QC,Self-employment,"Between $50,000 and $99,999",10,75000
QC,Self-employment,"$100,000 and Above",0,130000
QC,Multiple sources of income,"Less than $25,000",0,20000
QC,No income,"Less than $25,000",50,20000
QC,No income,"Less than $25,000",0,20000
QC,Other sources of income,"Less than $25,000",310,20000
QC,Other sources of income,"Less than $25,000",70,20000
QC,Other sources of income,"Between $25,000 and $49,999",50,37000
QC,Other sources of income,"Between $25,000 and $49,999",20,37000
QC,Other sources of income,"Between $50,000 and $99,999",10,75000
QC,Other sources of income,"Between $50,000 and $99,999",0,75000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Other sources of income,"$100,000 and Above",0,130000
QC,Employment,"Less than $25,000",1400,20000
QC,Employment,"Less than $25,000",240,20000
QC,Employment,"Between $25,000 and $49,999",1800,37000
QC,Employment,"Between $25,000 and $49,999",690,37000
QC,Employment,"Between $50,000 and $99,999",1080,75000
QC,Employment,"Between $50,000 and $99,999",600,75000
QC,Employment,"$100,000 and Above",0,130000
QC,Employment,"$100,000 and Above",170,130000
QC,Investment,"Less than $25,000",20,20000
QC,Investment,"Less than $25,000",60,20000
QC,Investment,"Between $25,000 and $49,999",0,37000
QC,Investment,"Between $25,000 and $49,999",90,37000
QC,Investment,"Between $50,000 and $99,999",0,75000
