State,Source.Income,Income.Range,Number.Tax.Fillers,Average.Income
NL,Employment,"Between $25,000 and $49,999",40,37000
NL,Employment,"Between $50,000 and $99,999",140,75000
NL,Employment,"Between $50,000 and $99,999",30,75000
NL,Employment,"$100,000 and Above",50,130000
NL,Employment,"$100,000 and Above",0,130000
NL,Investment,"Less than $25,000",0,20000
NL,Investment,"Less than $25,000",0,20000
NL,Investment,"Between $25,000 and $49,999",0,37000
NL,Investment,"Between $25,000 and $49,999",0,37000
NL,Investment,"$100,000 and Above",0,130000
NL,Pension,"Less than $25,000",460,20000
NL,Pension,"Less than $25,000",90,20000
NL,Pension,"Between $25,000 and $49,999",130,37000
NL,Pension,"Between $25,000 and $49,999",30,37000
NL,Pension,"Between $50,000 and $99,999",30,75000
NL,Pension,"Between $50,000 and $99,999",20,75000
NL,Pension,"$100,000 and Above",0,130000
NL,Pension,"$100,000 and Above",0,130000
NL,Self-employment,"Less than $25,000",0,20000
NL,Self-employment,"Less than $25,000",20,20000
NL,Self-employment,"Between $25,000 and $49,999",0,37000
NL,Self-employment,"Between $50,000 and $99,999",10,75000
NL,Self-employment,"$100,000 and Above",0,130000
NL,No income,"Less than $25,000",70,20000
NL,No income,"Less than $25,000",0,20000
NL,Other sources of income,"Less than $25,000",430,20000
NL,Other sources of income,"Less than $25,000",40,20000
NL,Other sources of income,"Between $25,000 and $49,999",50,37000
NL,Other sources of income,"Between $25,000 and $49,999",30,37000
NL,Other sources of income,"Between $50,000 and $99,999",0,75000
NL,Other sources of income,"Between $50,000 and $99,999",0,75000
NL,Other sources of income,"$100,000 and Above",0,130000
NL,Other sources of income,"$100,000 and Above",0,130000
NL,Employment,"Less than $25,000",70,20000
NL,Employment,"Less than $25,000",0,20000
NL,Employment,"Between $25,000 and $49,999",40,37000
NL,Employment,"Between $25,000 and $49,999",0,37000
NL,Employment,"Between $50,000 and $99,999",40,75000
NL,Employment,"Between $50,000 and $99,999",10,75000
NL,Employment,"$100,000 and Above",10,130000
NL,Employment,"$100,000 and Above",0,130000
NL,Investment,"Less than $25,000",0,20000
NL,Pension,"Less than $25,000",30,20000
NL,Pension,"Less than $25,000",10,20000
NL,Pension,"Between $25,000 and $49,999",0,37000
NL,Pension,"Between $25,000 and $49,999",0,37000
NL,Pension,"Between $50,000 and $99,999",0,75000
NL,Pension,"Between $50,000 and $99,999",0,75000
NL,Self-employment,"Less than $25,000",0,20000
NL,Self-employment,"Between $25,000 and $49,999",0,37000
NL,No income,"Less than $25,000",0,20000
NL,No income,"Less than $25,000",0,20000
NL,Other sources of income,"Less than $25,000",50,20000
NL,Other sources of income,"Less than $25,000",10,20000
NL,Other sources of income,"Between $25,000 and $49,999",10,37000
NL,Other sources of income,"Between $25,000 and $49,999",0,37000
NL,Employment,"Less than $25,000",590,20000
NL,Employment,"Less than $25,000",60,20000
NL,Employment,"Between $25,000 and $49,999",550,37000
NL,Employment,"Between $25,000 and $49,999",120,37000
NL,Employment,"Between $50,000 and $99,999",580,75000
NL,Employment,"Between $50,000 and $99,999",180,75000
NL,Employment,"$100,000 and Above",300,130000
NL,Employment,"$100,000 and Above",0,130000
NL,Investment,"Less than $25,000",0,20000
NL,Investment,"Less than $25,000",10,20000
NL,Investment,"Between $25,000 and $49,999",20,37000
NL,Investment,"Between $50,000 and $99,999",10,75000
NL,Investment,"$100,000 and Above",30,130000
NL,Pension,"Less than $25,000",460,20000
NL,Pension,"Less than $25,000",120,20000
NL,Pension,"Between $25,000 and $49,999",200,37000
NL,Pension,"Between $25,000 and $49,999",80,37000
NL,Pension,"Between $50,000 and $99,999",50,75000
NL,Pension,"Between $50,000 and $99,999",50,75000
NL,Pension,"$100,000 and Above",0,130000
NL,Pension,"$100,000 and Above",0,130000
NL,Self-employment,"Less than $25,000",40,20000
NL,Self-employment,"Between $25,000 and $49,999",50,37000
NL,Self-employment,"Between $50,000 and $99,999",50,75000
